image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img147_20210907_Yoro_Yumebutai_1000x1000,38,39,-0.02564102564102564,0.0,0.02564102564102564,0.987012987012987
img148_20210907_Yoro_OkinaSP_1000x1000,39,38,0.02631578947368421,0.07692307692307693,0.05263157894736842,0.935064935064935
img149_20210907_Yoro_OkinaSP_1000x1000,35,38,-0.07894736842105263,0.0,0.07894736842105263,0.958904109589041
img150_20210907_Yoro_OkinaSP_1000x1000,41,41,0.0,0.0,0.0,1.0
img151_20210907_Yoro_OkinaSP_1000x1000,39,38,0.02631578947368421,0.02564102564102564,0.0,0.987012987012987
img152_20210907_Yoro_Yumebutai_1000x1000,35,34,0.029411764705882353,0.08571428571428572,0.058823529411764705,0.927536231884058
img153_20210916_Kaizu_OkinaSP_1000x1000,38,38,0.0,0.0,0.0,1.0
img154_20210916_Kaizu_OkinaSP_1000x1000,34,34,0.0,0.058823529411764705,0.058823529411764705,0.9411764705882353
img155_20210916_Kaizu_OkinaSP_1000x1000,41,41,0.0,0.0,0.0,1.0
img156_20210916_Kaizu_OkinaSP_1000x1000,46,46,0.0,0.0,0.0,1.0
img157_20210916_Kaizu_OkinaSP_1000x1000,20,21,-0.047619047619047616,0.0,0.047619047619047616,0.975609756097561
img158_20210916_Sunomata_TCA422_1000x1000,32,32,0.0,0.0,0.0,1.0
img159_20210916_Sunomata_OkinaSP_1000x1000,45,44,0.022727272727272728,0.044444444444444446,0.022727272727272728,0.9662921348314607
img160_20210916_Sunomata_OkinaSP_1000x1000,46,48,-0.041666666666666664,0.0,0.041666666666666664,0.9787234042553191
img162_20210916_Sunomata_OkinaSP_1000x1000,52,52,0.0,0.0,0.0,1.0
img164_20210916_Sunomata_OkinaSP_1000x1000,47,48,-0.020833333333333332,0.0,0.020833333333333332,0.9894736842105263
img165_20210916_Sunomata_TCA422_1000x1000,49,51,-0.0392156862745098,0.0,0.0392156862745098,0.98
img166_20210916_Sunomata_TCA422_1000x1000,21,21,0.0,0.0,0.0,1.0
img167_20210916_Sunomata_TCA422_1000x1000,36,36,0.0,0.0,0.0,1.0
img169_20210921_Yoro_Yumebutai_1000x1000,46,44,0.045454545454545456,0.043478260869565216,0.0,0.9777777777777777
img170_20210921_Yoro_Yumebutai_1000x1000,40,40,0.0,0.0,0.0,1.0
img171_20210921_Yoro_Suiryoku_1000x1000,43,43,0.0,0.0,0.0,1.0
img173_20210921_Yoro_Suiryoku_1000x1000,48,47,0.02127659574468085,0.020833333333333332,0.0,0.9894736842105263
img174_20210921_Yoro_OkinaSP_1000x1000,46,40,0.15,0.13043478260869565,0.0,0.9302325581395349
img175_20210921_Yoro_OkinaSP_1000x1000,24,22,0.09090909090909091,0.08333333333333333,0.0,0.9565217391304348
img177_20210921_Yoro_Yumebutai_1000x1000,42,40,0.05,0.047619047619047616,0.0,0.975609756097561
img178_20210927_Kaizu_OkinaSP_1000x1000,26,26,0.0,0.07692307692307693,0.07692307692307693,0.9230769230769231
img179_20210927_Kaizu_OkinaSP_1000x1000,28,29,-0.034482758620689655,0.0,0.034482758620689655,0.9824561403508771
img180_20210927_Kaizu_OkinaSP_1000x1000,44,44,0.0,0.0,0.0,1.0
img181_20210927_Kaizu_OkinaSP_1000x1000,41,40,0.025,0.024390243902439025,0.0,0.9876543209876543
img183_20210927_Sunomata_TCA422_1000x1000,41,40,0.025,0.024390243902439025,0.0,0.9876543209876543
img184_20210927_Sunomata_TCA422_1000x1000,50,49,0.02040816326530612,0.04,0.02040816326530612,0.9696969696969697
img185_20210927_Sunomata_TCA422_1000x1000,45,41,0.0975609756097561,0.08888888888888889,0.0,0.9534883720930233
img186_20210927_Sunomata_TCA422_1000x1000,50,45,0.1111111111111111,0.1,0.0,0.9473684210526315
img187_20210927_Sunomata_OkinaSP_1000x1000,49,48,0.020833333333333332,0.02040816326530612,0.0,0.9896907216494846
img189_20210927_Sunomata_OkinaSP_1000x1000,37,37,0.0,0.05405405405405406,0.05405405405405406,0.9459459459459459
img190_20210927_Sunomata_OkinaSP_1000x1000,55,54,0.018518518518518517,0.01818181818181818,0.0,0.9908256880733946
img191_20210927_Sunomata_OkinaSP_1000x1000,51,50,0.02,0.0392156862745098,0.02,0.9702970297029703
img193_20210927_Yoro_Yumebutai_1000x1000,49,47,0.0425531914893617,0.04081632653061224,0.0,0.9791666666666666
img195_20210927_Yoro_Yumebutai_1000x1000,51,50,0.02,0.0196078431372549,0.0,0.9900990099009901
img197_20210927_Yoro_Suiryoku_1000x1000,49,49,0.0,0.0,0.0,1.0
img198_20210927_Yoro_Suiryoku_1000x1000,46,45,0.022222222222222223,0.021739130434782608,0.0,0.989010989010989
img200_20210927_Yoro_OkinaSP_1000x1000,44,44,0.0,0.0,0.0,1.0
img201_20210927_Yoro_Yumebutai_1000x1000,42,42,0.0,0.0,0.0,1.0
img204_20211005_Kaizu_OkinaSP_1000x1000,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img205_20211005_Kaizu_OkinaSP_1000x1000,40,39,0.02564102564102564,0.05,0.02564102564102564,0.9620253164556962
img206_20211005_Kaizu_OkinaSP_1000x1000,42,40,0.05,0.047619047619047616,0.0,0.975609756097561
img207_20211005_Kaizu_OkinaSP_1000x1000,12,11,0.09090909090909091,0.08333333333333333,0.0,0.9565217391304348
img209_20211005_Sunomata_TCA422_1000x1000,47,40,0.175,0.14893617021276595,0.0,0.9195402298850575
img210_20211005_Sunomata_OkinaSP_1000x1000,12,11,0.09090909090909091,0.08333333333333333,0.0,0.9565217391304348
img211_20211005_Sunomata_OkinaSP_1000x1000,48,42,0.14285714285714285,0.14583333333333334,0.023809523809523808,0.9111111111111111
img212_20211005_Sunomata_OkinaSP_1000x1000,46,41,0.12195121951219512,0.10869565217391304,0.0,0.9425287356321839
img214_20211005_Sunomata_OkinaSP_1000x1000,52,49,0.061224489795918366,0.057692307692307696,0.0,0.9702970297029703
img216_20211005_Sunomata_TCA422_1000x1000,50,49,0.02040816326530612,0.02,0.0,0.98989898989899
img217_20211005_Sunomata_TCA422_1000x1000,49,46,0.06521739130434782,0.061224489795918366,0.0,0.968421052631579
img220_20211005_Yoro_Suiryoku_1000x1000,41,41,0.0,0.024390243902439025,0.024390243902439025,0.975609756097561
img222_20211005_Yoro_Yumebutai_1000x1000,49,49,0.0,0.02040816326530612,0.02040816326530612,0.9795918367346939
img223_20211005_Yoro_OkinaSP_1000x1000,48,43,0.11627906976744186,0.10416666666666667,0.0,0.945054945054945
img224_20211005_Yoro_Yumebutai_1000x1000,51,45,0.13333333333333333,0.11764705882352941,0.0,0.9375
img226_20211005_Yoro_OkinaSP_1000x1000,47,45,0.044444444444444446,0.0425531914893617,0.0,0.9782608695652174
img227_20211005_Yoro_Yumebutai_1000x1000,41,40,0.025,0.04878048780487805,0.025,0.9629629629629629
img228_20211011_Kaizu_OkinaSP_1000x1000,39,38,0.02631578947368421,0.02564102564102564,0.0,0.987012987012987
